# gusset-bench: v1
# gusset-bench-recorded: 2026-09-21T02:45:48Z
# gusset-bench-host: Mac.lan
# gusset-bench-uname: Darwin 27.0.0 arm64
# gusset-bench-package: . ./bench/...
# gusset-bench-arms: .
# gusset-bench-benchtime: 1s
# gusset-bench-count: 10
# gusset-bench-cpu-idle-before: 83.75
# gusset-bench-cpu-idle-after: 87.38
# gusset-bench-min-idle: 60
# gusset-bench-exclusive: yes
goos: darwin
goarch: arm64
pkg: github.com/bharathvbcr/gusset/bench
cpu: Apple M5 Pro
BenchmarkGussetCallNoop-18               	   95326	     13052 ns/op	     161 B/op	       3 allocs/op
BenchmarkGussetCallNoop-18               	   97022	     13048 ns/op	     161 B/op	       3 allocs/op
BenchmarkGussetCallNoop-18               	   95737	     14034 ns/op	     160 B/op	       2 allocs/op
BenchmarkGussetCallNoop-18               	   85969	     13354 ns/op	     161 B/op	       2 allocs/op
BenchmarkGussetCallNoop-18               	   94515	     12631 ns/op	     161 B/op	       3 allocs/op
BenchmarkGussetCallNoop-18               	   85215	     12915 ns/op	     161 B/op	       3 allocs/op
BenchmarkGussetCallNoop-18               	   95222	     12847 ns/op	     161 B/op	       3 allocs/op
BenchmarkGussetCallNoop-18               	   96890	     12802 ns/op	     161 B/op	       2 allocs/op
BenchmarkGussetCallNoop-18               	   96020	     12853 ns/op	     161 B/op	       2 allocs/op
BenchmarkGussetCallNoop-18               	   90537	     13255 ns/op	     161 B/op	       3 allocs/op
BenchmarkGussetCallParallel-18           	  278623	      4160 ns/op	     159 B/op	       2 allocs/op
BenchmarkGussetCallParallel-18           	  301401	      4052 ns/op	     159 B/op	       2 allocs/op
BenchmarkGussetCallParallel-18           	  298050	      4085 ns/op	     159 B/op	       2 allocs/op
BenchmarkGussetCallParallel-18           	  263937	      3995 ns/op	     159 B/op	       2 allocs/op
BenchmarkGussetCallParallel-18           	  270028	      4091 ns/op	     159 B/op	       2 allocs/op
BenchmarkGussetCallParallel-18           	  283617	      4156 ns/op	     159 B/op	       2 allocs/op
BenchmarkGussetCallParallel-18           	  289059	      4087 ns/op	     159 B/op	       2 allocs/op
BenchmarkGussetCallParallel-18           	  289656	      4149 ns/op	     159 B/op	       2 allocs/op
BenchmarkGussetCallParallel-18           	  303050	      4045 ns/op	     159 B/op	       2 allocs/op
